Santuario Fontile;44.3373307;11.2037664;ruins;
San Pietro Apostolo;44.3301813;11.6617176;place_of_worship;
Chiesa di Prato;44.2666864;11.5582159;place_of_worship;
Chiesa di Montefune;44.2006058;11.4734453;place_of_worship;
Chiesa di Posseggio;44.2248387;11.5678229;place_of_worship;
Chiesa di Riviera;44.2871349;11.6068797;place_of_worship;
Sant'Apollinare di Bergullo;44.314737;11.7350756;place_of_worship;
Chiesa di Croara;44.3034393;11.5745503;place_of_worship;
Santuario Madonna di Ghiandolino;44.3045199;11.7107568;place_of_worship;
Chiesa di Valmaggiore;44.1974483;11.5370025;place_of_worship;
Chiesa di San Pietro Apostolo in Ghiandolino;44.3131797;11.6939224;place_of_worship;
Chiesa S Maria del Carmine;44.3825132;11.6399829;place_of_worship;
Santa Vergine Maria in Sellustra;44.3905995;11.6547296;place_of_worship;
Chiesa di San Prospero Vescovo;44.3647875;11.7773366;place_of_worship;
Chiesa di Buda;44.5172989;11.7017313;place_of_worship;
Porta San Donato;44.4984142;11.3564119;Generico;it:3136707
Chiesa Parrocchiale San Giovanni Battista Decollato e Sacro Cuore;44.4325551;11.6770488;place_of_worship;
Torre;44.4320484;11.6762399;Generico;
Torre;44.4330357;11.6766196;Generico;
Torre;44.4316743;11.6779566;Generico;
Torre;44.4326451;11.6783635;Generico;
San Michele Arcangelo;44.3617753;11.2773326;place_of_worship;
San Martino di Battedizzo;44.3749508;11.2620858;place_of_worship;
Chiesa di Luminasio;44.3597006;11.1902831;place_of_worship;
Chiesa di San Giovanni Battista;44.4762765;11.2772666;place_of_worship;
Porta San Felice;44.4992355;11.3272298;Generico;it:3136725
Chiesa della Croara;44.445165;11.3875777;place_of_worship;
Oratorio di Madonna dei boschi;44.4412583;11.3753624;place_of_worship;
Chiesa del Farneto;44.4388052;11.4092587;place_of_worship;
Chiesa di Pizzocalvo;44.4447225;11.4355626;place_of_worship;
Chiesa di San Filippo e Giacomo;44.5833096;11.5512665;place_of_worship;
Chiesa di San Gregorio Magno;44.6117136;11.580037;place_of_worship;
Chiesa di San Giovanni in Triario;44.6016406;11.5073098;place_of_worship;
Castello di San Martino dei Manzoli;44.6121392;11.5227697;Generico;
Santissima Trinità;44.5418671;11.6294111;place_of_worship;
Santuario del Monte delle Formiche;44.319111;11.3855582;place_of_worship;it:3048331
Chiesa Santi Pietro e Paolo;44.3006517;11.3425949;place_of_worship;
Torre di Durazzo;44.5830565;11.6688991;ruins;
San Silvestro;44.3595698;11.2406483;place_of_worship;
San Lorenzo Martire;44.3559619;11.2150044;place_of_worship;
San Severino;44.4792878;11.3705652;place_of_worship;
Chiesa di San Vitale;44.5555301;11.3051115;place_of_worship;
Oratorio di Santa Maria delle Grazie;44.5533985;11.2921232;place_of_worship;
Santa Maria di Labante;44.2587011;11.0411578;place_of_worship;
San Giovanni Battista;44.3268251;11.3291373;place_of_worship;
Chiesa di Villa del Sassonero;44.2707173;11.4460502;place_of_worship;
Campanile di Fiagnano;44.3320283;11.5682589;place_of_worship;
San Giovanni Battista;44.2889621;11.3810889;place_of_worship;
San Paolo;44.2171158;11.263726;place_of_worship;
Ca dei Monti;44.2753501;11.3736338;ruins;
San Mamante di Lovoleto;44.585381;11.4259541;place_of_worship;
Chiesa die San Alessandro;44.2707431;11.3883526;place_of_worship;
Santa Liberata e San Giuseppe;44.2989631;11.405936;place_of_worship;
San Salvatore;44.3973473;11.3975108;place_of_worship;
Porta Mascarella;44.5021584;11.3527345;Generico;it:3136648
Casa della Natura;44.4253126;11.2879329;museum;
San Michele Arcangelo di Badolo;44.3654672;11.2740729;place_of_worship;it:3120016
Chiesa di San Pio;44.3527402;11.6905074;place_of_worship;
San Giovanni Battista;44.6645089;11.4875068;place_of_worship;
Museo della Preistoria "Luigi Donini";44.4696693;11.4005357;museum;
ruderi di San Cassiano di Rignano;44.3319125;11.4709988;place_of_worship;
Villa Smeraldi;44.6034265;11.4171226;Generico;
